Date,BID,ACB,MBB,HPG,HDB,FPT,SSI,BCM,BVH,STB,CTG,GAS,GVR,MSN,MWG,PLX,POW,SAB,SHB,SSB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
6/10/2023,"42,200.00","21,800.00","18,150.00","24,950.00","17,100.00","92,700.00","32,950.00","69,500","41,900.00","30,950.00","28,700.00","84,200.00","72,700","72,700","48,300","35,000.00","11,200.00","69,600","10,700.00","24,500.00","32,050.00","16,800.00","85,400","46,050","18,700","45,950","97,000","74,200.00","20,950.00","27,450.00"
5/10/2023,"41,600.00","21,600.00","18,050.00","24,900.00","16,950.00","91,600.00","31,650.00","68,900","41,900.00","29,900.00","28,100.00","84,200.00","72,800","72,800","47,000","34,400.00","10,900.00","69,500","10,500.00","24,500.00","31,800.00","16,550.00","84,500","44,550","18,500","45,600","95,500","72,700.00","20,800.00","26,800.00"
4/10/2023,"42,500.00","21,600.00","18,150.00","25,250.00","17,100.00","92,500.00","31,750.00","69,000","42,050.00","30,200.00","28,900.00","85,800.00","73,500","73,500","49,200","36,250.00","11,250.00","70,000","10,650.00","24,450.00","32,250.00","16,600.00","86,300","44,600","18,900","46,100","96,800","74,400.00","21,000.00","27,000.00"
3/10/2023,"41,550.00","21,600.00","18,050.00","24,800.00","17,100.00","92,200.00","30,200.00","68,500","41,850.00","29,200.00","29,100.00","86,300.00","74,000","74,000","49,000","36,000.00","11,200.00","70,300","10,550.00","24,900.00","32,500.00","16,700.00","86,300","44,050","18,800","44,500","97,900","74,000.00","21,000.00","26,300.00"
2/10/2023,"43,950.00","21,900.00","18,600.00","26,200.00","17,100.00","93,200.00","32,100.00","69,400","42,250.00","30,850.00","29,950.00","89,300.00","77,400","77,400","51,900","37,500.00","11,750.00","73,000","11,050.00","25,000.00","33,150.00","17,500.00","86,500","45,750","19,450","46,900","98,500","75,600.00","21,800.00","26,850.00"
29/09/2023,"44,350.00","21,850.00","18,500.00","26,300.00","17,350.00","92,800.00","31,800.00","69,500","42,150.00","30,650.00","30,050.00","90,700.00","76,300","76,300","52,600","37,500.00","11,600.00","72,500","11,100.00","25,000.00","33,650.00","17,850.00","87,500","45,500","19,350","46,850","99,300","74,200.00","21,700.00","26,100.00"
28/09/2023,"44,350.00","21,750.00","18,500.00","26,600.00","17,300.00","94,000.00","32,300.00","67,200","42,400.00","30,750.00","30,850.00","91,500.00","76,500","76,500","53,000","37,750.00","11,500.00","72,400","10,950.00","25,000.00","33,650.00","18,050.00","88,000","44,500","19,350","45,000","99,300","74,800.00","21,200.00","25,450.00"
27/09/2023,"44,400.00","22,000.00","18,500.00","26,500.00","17,400.00","94,300.00","33,000.00","66,200","42,400.00","31,800.00","31,000.00","88,900.00","76,000","76,000","52,000","36,550.00","11,750.00","74,100","11,100.00","26,250.00","32,600.00","17,800.00","87,800","45,100","19,550","45,200","99,700","76,600.00","21,000.00","26,100.00"
26/09/2023,"44,350.00","21,900.00","18,250.00","26,200.00","17,400.00","93,500.00","30,900.00","65,900","42,000.00","31,350.00","30,300.00","88,800.00","73,000","73,000","51,500","37,100.00","11,650.00","75,300","10,800.00","26,200.00","32,400.00","17,700.00","87,000","45,000","19,250","45,000","98,000","76,100.00","20,450.00","25,800.00"
25/09/2023,"45,100.00","22,000.00","18,100.00","26,000.00","17,400.00","94,300.00","30,350.00","68,000","42,200.00","31,650.00","29,800.00","89,500.00","70,300","70,300","51,000","37,500.00","11,800.00","76,000","11,000.00","26,000.00","32,800.00","18,000.00","89,300","47,000","19,050","46,500","98,000","77,600.00","20,400.00","26,600.00"
